Name,Nick Name,Classes,Release Date,Last Changed,Blue Essence,RP,Difficulty,Role,Range type,Resourse type,Base HP,Base mana,DominantColor
Tahm Kench ,The river king,Warden,2015-07-09,V14.15,4800,880,Beginner,"Top,Support",Melee,Mana,640,325,#000000
Taliyah,The stoneweaver,Battlemage,2016-05-18,V14.16,4800,880,Intermediate_Plus,"Jungle,Middle",Ranged,Mana,550,470,#4d252c
Talon,The blade's shadow,Assassin,2011-08-24,V14.15,3150,790,Intermediate,"Middle,Jungle",Melee,Mana,658,400,#ccffff
Taric,The shield of valoran,Enchanter  Warden,2009-08-19,V14.15,1350,585,Novice,"Support,Middle",Melee,Mana,645,300,#c695dc
Teemo,The swift scout,Specialist,2009-02-21,V14.8,450,260,Beginner,"Top,Jungle,Support",Ranged,Mana,598,334,#272e25
Thresh,The chain warden,Catcher,2013-01-23,V14.8,3150,790,Advanced,Support,Ranged,Mana,600,274,#0d272f
Tristana,The yordle gunner,Marksman,2009-02-21,V14.14,1350,585,Beginner,"Bottom,Middle",Ranged,Mana,640,250,#010101
Trundle,The troll king,Juggernaut,2010-12-01,V14.5,3150,790,Beginner,"Top,Jungle",Melee,Mana,650,340,#292037
Tryndamere,The barbarian king,Skirmisher,2009-05-01,V14.12,1350,585,Novice,Top,Melee,Fury,696,100,#a5b5bb
Twisted Fate, The card master,Burst,2009-02-21,V14.12,4800,585,Intermediate,"Middle,Bottom,Top",Ranged,Mana,604,333,#312329
Twitch,The plague rat,Marksman,2009-05-01,V14.12,3150,790,Intermediate,"Bottom,Support",Ranged,Mana,630,300,#22292c
Udyr,The spirit walker,Juggernaut,2009-12-02,V14.3,1350,585,Beginner,"Top,Jungle",Melee,Mana,664,271,#795149
Urgot,The dreadnought,Juggernaut,2010-08-24,V14.10,3150,790,Intermediate_Plus,Top,Ranged,Mana,655,340,#0f0e0c
Varus,The arrow of retribution,Marksman  Artillery,2012-05-08,V14.18,4800,880,Intermediate,Bottom,Ranged,Mana,600,360,#3a2141
Vayne,The night hunter,Marksman,2011-05-10,V14.6,3150,790,Intermediate,"Bottom,Top",Ranged,Mana,550,232,#131822
Veigar,The tiny master of evil,Burst,2009-07-24,V14.9,1350,585,Novice,"Middle,Support",Ranged,Mana,580,490,#121328
Vel'koz,The eye of the void,Artillery,2014-02-27,V14.9,3141,880,Intermediate,"Support,Middle",Ranged,Mana,590,469,#111321
Vi,The piltover enforcer,Diver,2012-12-19,V14.18,1350,585,Novice,Jungle,Melee,Mana,655,295,#996152
Viktor,The machine herald,Battlemage,2011-12-29,V14.12,4800,880,Intermediate,Middle,Ranged,Mana,600,405,#19100a
Vladimir,The crimson reaper,Battlemage,2010-07-27,V14.18,3150,790,Intermediate_Plus,"Middle,Top",Ranged,Crimson Rush,607,2,#737061
Volibear,The relentless storm,Juggernaut,2011-11-29,V14.10,1350,585,Novice,"Top,Jungle",Melee,Mana,650,350,#0b0a0c
Warwick,The uncaged wrath of zaun,Diver,2009-02-21,V14.9,450,260,Novice,"Jungle,Top",Melee,Mana,620,280,#0f170f
Zac,The secret weapon,Vanguard,2013-03-29,V14.13,4800,880,Novice,"Jungle,Top,Support",Melee,none,685,0,#17461a
Zed,The master of shadows,Assassin,2012-11-13,V14.15,1350,585,Advanced,"Middle,Jungle",Melee,Energy,654,200,#07090e
Zyra,Rise of the thorns,Catcher,2012-07-24 00:00:00,V14.15,3150,790,Intermediate_Plus,Support,Ranged,Mana,574,418,#130f0a
